Pricing_Record_ID,NDC,Pricing_Methodology,Unit_Price,Package_Price,Effective_Date,End_Date,Source_System,Last_Updated
PRC0000001,60986106546,MAC,5.0138,315.87,2025-02-15,2026-03-14,PricingFeedB,2025-08-14
PRC0000002,48791769150,AWP,3.5135,260.0,2025-07-20,2026-08-12,PricingFeedA,2025-12-13
PRC0000003,19530750922,Contract Rate,48.5885,3449.78,2025-05-03,2026-12-01,PricingFeedA,2026-05-02
PRC0000004,72171503347,NADAC,12.3309,715.19,2023-01-03,2024-06-19,PricingFeedB,2025-12-26
PRC0000005,20698353031,WAC,26.883,2096.87,2023-04-23,2023-10-19,PricingFeedB,2025-02-04
PRC0000006,38327505360,AWP,12.0071,684.4,2025-02-28,2026-08-08,PricingFeedB,2025-04-06
PRC0000007,55577596931,AWP,26.6539,1785.81,2026-03-10,2027-05-26,PricingFeedA,2026-02-14
PRC0000008,20964366855,NADAC,10.7402,461.83,2025-06-02,2026-01-16,PricingFeedB,2026-07-24
PRC0000009,72982905964,WAC,14.7426,1430.03,2025-01-05,2026-03-15,PricingFeedA,2025-09-21
PRC0000010,14612321460,MAC,6.8669,405.15,2026-04-10,2027-09-25,PricingFeedB,2025-12-10
PRC0000011,30303185760,MAC,3.0697,98.23,2025-03-26,2026-05-21,PricingFeedA,2026-04-21
PRC0000012,78234779957,NADAC,12.3482,395.14,2026-05-02,2027-02-04,PricingFeedA,2025-03-13
PRC0000013,17997612230,NADAC,1.8422,156.59,2023-07-25,2024-10-09,PricingFeedB,2026-04-24
PRC0000014,98558768029,WAC,12.9689,1011.57,2024-10-26,2026-02-16,PricingFeedA,2026-07-06
PRC0000015,21421615389,WAC,14.9157,686.12,2023-08-02,2025-06-08,PricingFeedB,2026-05-06
PRC0000016,37104711512,NADAC,12.4213,670.75,2023-07-26,2025-06-19,PricingFeedA,2025-06-28
PRC0000017,37195598538,MAC,11.674,513.66,2023-09-09,2023-12-21,PricingFeedB,2026-08-03
PRC0000018,99698815592,Contract Rate,3.8681,127.65,2026-01-17,2026-11-10,PricingFeedA,2025-05-03
PRC0000019,52550652494,NADAC,15.4477,1467.53,2024-05-20,2026-01-21,PricingFeedB,2026-04-16
PRC0000020,78677417938,AWP,4.2339,156.65,2023-05-13,2023-10-19,PricingFeedB,2026-05-23
PRC0000021,85163650917,Contract Rate,1.0662,94.89,2023-07-04,2024-01-02,PricingFeedB,2025-05-30
PRC0000022,98076393354,NADAC,20.5429,801.17,2024-07-06,2025-04-24,PricingFeedA,2026-02-13
PRC0000023,55751721745,Contract Rate,1.853,88.94,2026-02-15,2027-05-12,PricingFeedA,2026-07-03
PRC0000024,73434787752,Contract Rate,4.6249,402.37,2024-04-12,2024-08-18,PricingFeedB,2025-06-07
PRC0000025,73825238231,Contract Rate,10.9818,878.54,2024-02-15,2025-10-11,PricingFeedB,2025-12-03
PRC0000026,45654776470,NADAC,29.5798,916.97,2023-05-26,2024-05-02,PricingFeedB,2025-06-12
PRC0000027,60844107060,MAC,10.6259,871.32,2023-08-14,2024-05-04,PricingFeedA,2026-06-24
PRC0000028,99885674336,Contract Rate,21.4293,321.44,2024-11-23,2025-02-27,PricingFeedA,2025-03-28
PRC0000029,89789879626,NADAC,2.7122,89.5,2024-04-16,2026-03-23,PricingFeedB,2025-01-19
PRC0000030,42627468935,WAC,26.1574,732.41,2023-09-02,2024-12-11,PricingFeedA,2026-01-26
PRC0000031,26665254060,MAC,50.9828,1733.42,2023-06-30,2023-11-27,PricingFeedA,2025-07-29
PRC0000032,70317814977,AWP,15.1254,151.25,2024-12-04,2025-03-04,PricingFeedA,2025-07-26
PRC0000033,25092429310,NADAC,24.3328,1119.31,2024-11-29,2025-10-27,PricingFeedA,2025-12-07
PRC0000034,17813492685,WAC,9.7022,708.26,2024-03-20,2025-06-28,PricingFeedB,2025-11-03
PRC0000035,22951612888,WAC,12.7461,892.23,2025-09-24,2027-03-14,PricingFeedA,2025-06-20
PRC0000036,76115147727,NADAC,7.6381,733.26,2023-09-25,2025-05-09,PricingFeedA,2025-01-09
PRC0000037,94459224162,WAC,6.3148,195.76,2023-02-07,2023-07-14,PricingFeedB,2026-01-26
PRC0000038,65004145763,Contract Rate,15.8158,917.32,2024-01-10,2025-04-16,PricingFeedB,2025-09-27
PRC0000039,76910235985,WAC,6.546,327.3,2026-02-13,2026-09-26,PricingFeedB,2025-04-08
PRC0000040,63613240630,AWP,46.7028,2288.44,2026-03-11,2026-07-08,PricingFeedA,2025-04-11
PRC0000041,77497673240,MAC,51.6835,2170.71,2023-02-25,2024-08-18,PricingFeedB,2025-01-27
PRC0000042,82100899412,WAC,5.6518,265.63,2023-03-13,2024-06-22,PricingFeedB,2025-01-01
PRC0000043,86680432854,NADAC,3.9575,280.98,2024-10-06,2026-04-25,PricingFeedB,2025-07-31
PRC0000044,68335772779,MAC,3.9247,247.26,2026-03-04,2026-06-25,PricingFeedB,2025-09-16
PRC0000045,31028872249,WAC,7.3442,609.57,2024-09-07,2025-10-27,PricingFeedA,2025-08-20
PRC0000046,47340976831,WAC,10.7086,117.79,2025-06-19,2026-07-10,PricingFeedB,2025-10-03
PRC0000047,76053633631,NADAC,1.9821,107.03,2023-02-04,2024-05-07,PricingFeedA,2025-02-26
PRC0000048,29289502522,NADAC,13.4307,886.43,2025-05-08,2026-10-29,PricingFeedB,2026-03-05
PRC0000049,60986106546,AWP,5.9759,537.83,2024-12-29,2026-02-16,PricingFeedB,2026-02-08
PRC0000050,93322571389,WAC,2.8397,281.13,2025-01-26,2026-01-20,PricingFeedA,2026-05-29
PRC0000051,36201328832,Contract Rate,11.1875,861.44,2025-02-13,2025-09-10,PricingFeedB,2026-01-16
PRC0000052,48887377765,WAC,-8.1417,-162.83,2026-01-13,2027-01-12,PricingFeedB,2026-04-22
PRC0000053,47585215820,MAC,1.5073,143.19,2024-03-22,2024-08-23,PricingFeedB,2026-01-03
PRC0000054,15384104284,AWP,29.7306,1664.91,2024-01-21,2025-02-09,PricingFeedB,2025-09-12
PRC0000055,11713731824,NADAC,6.7618,148.76,2026-05-02,2027-02-06,PricingFeedB,2026-01-17
PRC0000056,28631979336,MAC,15.0583,301.17,2025-03-08,2025-10-08,PricingFeedA,2025-05-12
PRC0000057,25353369992,Contract Rate,4.4234,327.33,2023-10-15,2025-05-05,PricingFeedB,2025-05-21
PRC0000058,11713731824,Contract Rate,2.5441,109.4,2023-11-24,2025-11-05,PricingFeedA,2026-07-27
PRC0000059,20858309589,NADAC,31.2445,1530.98,2023-10-11,2025-03-07,PricingFeedB,2025-12-13
PRC0000060,71012800477,NADAC,9.8139,480.88,2024-10-08,2025-11-14,PricingFeedB,2025-03-07
PRC0000061,48632631955,Contract Rate,7.4911,269.68,2024-06-07,2026-04-26,PricingFeedA,2025-04-30
PRC0000062,57323670373,MAC,8.7379,699.03,2025-05-25,2027-02-04,PricingFeedA,2025-09-21
PRC0000063,33036992193,Contract Rate,5.9399,196.02,2025-03-07,2027-02-02,PricingFeedB,2025-01-27
PRC0000064,39764892488,AWP,-2.9888,-158.41,2024-10-27,2025-08-06,PricingFeedB,2026-03-19
PRC0000065,36099200846,WAC,13.936,1128.82,2025-11-11,2027-06-13,PricingFeedA,2026-08-06
PRC0000066,37986793471,AWP,17.3152,1038.91,2023-09-25,2024-05-01,PricingFeedA,2026-03-20
PRC0000067,81987321337,AWP,25.8168,2116.98,2023-02-12,2023-12-10,PricingFeedA,2025-10-15
PRC0000068,27388983519,AWP,5.1448,493.9,2025-08-13,2026-05-26,PricingFeedB,2025-09-01
PRC0000069,70400541549,MAC,2.8336,238.02,2023-12-01,2025-05-19,PricingFeedA,2025-05-23
PRC0000070,95394474535,MAC,27.3816,1861.95,2024-11-26,2026-03-04,PricingFeedB,2026-02-14
PRC0000071,73078761162,MAC,2.9549,82.74,2025-03-04,2026-02-20,PricingFeedA,2025-10-09
PRC0000072,21889957164,MAC,1.8186,74.56,2023-07-11,2024-09-26,PricingFeedA,2026-05-21
PRC0000073,60055684146,AWP,7.9232,760.63,2023-06-20,2024-03-06,PricingFeedA,2025-08-07
PRC0000074,31054839415,NADAC,2.241,73.95,2025-01-14,2026-01-31,PricingFeedA,2026-07-08
PRC0000075,68817261549,NADAC,2.6254,210.03,2025-10-12,2026-05-28,PricingFeedA,2025-04-06
PRC0000076,74385175975,NADAC,3.2494,250.2,2023-02-07,2024-06-24,PricingFeedA,2026-05-07
PRC0000077,48104454958,MAC,14.7374,589.5,2023-06-30,2024-08-12,PricingFeedA,2026-01-11
PRC0000078,48836820566,MAC,2.9744,110.05,2023-08-20,2025-03-18,PricingFeedA,2025-11-15
PRC0000079,97378960743,AWP,11.0233,540.14,2024-01-11,2025-11-07,PricingFeedA,2025-12-30
PRC0000080,29696691682,MAC,5.7109,485.43,2026-04-27,2027-12-13,PricingFeedA,2026-07-31
PRC0000081,52398869460,WAC,,113.06,2023-08-27,2024-04-10,PricingFeedB,2025-02-03
PRC0000082,58584770558,Contract Rate,45.3694,3720.29,2026-01-04,2026-09-13,PricingFeedA,2025-06-05
PRC0000083,67041360337,Contract Rate,52.0058,3328.37,2024-09-27,2025-11-17,PricingFeedA,2025-03-24
PRC0000084,23809467884,Contract Rate,16.4254,755.57,2024-07-29,2025-11-08,PricingFeedB,2025-09-09
PRC0000085,65873476990,MAC,7.8016,390.08,2024-03-20,2025-08-08,PricingFeedB,2025-06-06
PRC0000086,68817261549,MAC,4.9688,273.28,2023-08-03,2023-11-20,PricingFeedA,2026-04-25
PRC0000087,40538581357,Contract Rate,14.0077,686.38,2024-03-25,2025-02-26,PricingFeedA,2025-07-22
PRC0000088,14974572541,MAC,30.347,789.02,2026-05-17,2026-09-22,PricingFeedB,2026-07-31
PRC0000089,22109843357,AWP,18.1792,1708.84,2023-11-09,2024-09-03,PricingFeedA,2025-08-20
PRC0000090,26884937862,AWP,2.0373,103.9,2023-02-25,2025-02-02,PricingFeedA,2025-05-24
PRC0000091,86445320315,AWP,3.7915,219.91,2024-08-01,2025-04-20,PricingFeedB,2025-06-30
PRC0000092,77464349998,AWP,6.2738,470.53,2023-11-05,2024-06-20,PricingFeedA,2026-02-21
PRC0000093,31620645567,NADAC,23.7848,1855.21,2023-09-10,2024-12-10,PricingFeedA,2026-06-23
PRC0000094,81673281655,NADAC,11.4635,722.2,2026-04-21,2026-12-01,PricingFeedB,2026-03-28
PRC0000095,37173563991,AWP,8.081,525.26,2025-05-09,2026-09-10,PricingFeedA,2026-05-06
PRC0000096,12871210416,Contract Rate,0.7417,41.54,2025-12-23,2027-10-11,PricingFeedB,2025-11-20
PRC0000097,39388824427,AWP,2.4972,122.36,2025-02-23,2025-10-10,PricingFeedA,2025-01-26
PRC0000098,82475457780,MAC,6.6559,179.71,2025-09-01,2026-04-24,PricingFeedA,2026-06-03
PRC0000099,12131959374,NADAC,9.0233,243.63,2024-01-10,2025-12-06,PricingFeedB,2026-03-07
PRC0000100,51203246489,Contract Rate,7.6115,342.52,2023-06-22,2025-04-17,PricingFeedA,2025-07-05
PRC0000101,26411345874,WAC,4.543,449.76,2024-05-24,2025-01-04,PricingFeedB,2025-06-24
PRC0000102,38481272433,WAC,107.6799,3122.72,2026-04-07,2027-09-01,PricingFeedB,2025-02-01
PRC0000103,73825238231,WAC,5.6647,441.85,2025-10-21,2026-07-13,PricingFeedA,2025-04-01
PRC0000104,22965734777,Contract Rate,31.5169,2521.35,2026-03-31,2027-09-03,PricingFeedB,2025-08-13
