Formulary_Record_ID,Plan_ID,NDC,Drug_Name,Formulary_Tier,Coverage_Status,Prior_Authorization_Flag,Step_Therapy_Flag,Quantity_Limit_Flag,Effective_Date,End_Date,Source_System
FRM000001,PLAN014,88756957596,Cymbalta,2,Non-Preferred,N,Y,Y,2025-01-18,2026-06-23,FormularyManager
FRM000002,PLAN020,56531179876,Eliquis,3,Covered,N,N,N,2024-04-07,2025-02-28,FormularyManager
FRM000003,PLAN012,21421615389,Lasix,1,Covered,N,N,N,2024-06-23,2026-01-10,FormularyManager
FRM000004,PLAN011,41577281759,Glucophage,1,Covered,N,N,N,2026-03-22,2027-08-01,FormularyManager
FRM000005,PLAN017,49834139728,FORMULARY NAME MISMATCH,5,Covered,N,N,N,2024-12-10,2025-10-12,FormularyManager
FRM000006,PLAN009,38655593381,Singulair,1,Non-Preferred,Y,N,N,2025-01-02,2026-03-08,FormularyManager
FRM000007,PLAN012,14041368848,Plavix,2,Non-Preferred,N,Y,N,2024-09-04,2026-05-10,FormularyManager
FRM000008,PLAN015,96682671088,Humalog,2,,N,N,N,2025-11-14,2026-07-15,FormularyManager
FRM000009,PLAN011,90800728349,Jardiance,1,Non-Preferred,N,Y,Y,2024-07-01,2025-12-08,FormularyManager
FRM000010,PLAN016,95759671235,Lipitor,4,Covered,N,N,N,2024-05-20,2026-03-01,FormularyManager
FRM000011,PLAN005,47041166680,Jardiance,2,Non-Preferred,N,N,N,2024-05-22,2025-10-14,FormularyManager
FRM000012,PLAN020,22187365237,Cozaar,3,Covered,N,N,N,2026-04-15,2027-03-23,FormularyManager
FRM000013,PLAN003,76324394748,Glucophage,3,Covered,N,N,Y,2024-12-13,2025-06-25,FormularyManager
FRM000014,PLAN017,64532981981,Crestor,1,Covered,N,N,N,2025-06-29,2026-01-24,FormularyManager
FRM000015,PLAN001,68995759668,Ventolin,5,Excluded,N,N,Y,2025-12-25,2027-02-11,FormularyManager
FRM000016,PLAN019,50442763134,Plavix,4,Covered,Y,Y,N,2024-06-22,2025-05-04,FormularyManager
FRM000017,PLAN020,80264600050,Crestor,5,Covered,N,N,N,2024-04-09,2026-03-23,FormularyManager
FRM000018,PLAN014,25094254121,Synthroid,2,Covered,N,N,N,2024-10-28,2026-06-06,FormularyManager
