Pharmacy_Source_ID,NPI,NCPDP_ID,Pharmacy_Name,Pharmacy_Type,Address,City,State,ZIP,Network_Status,Effective_Date,End_Date,Source_System
PHM00001,6022768040,2501652,Premier Pharmacy #7967,Hospital,1672 Main St,San Antonio,TX,58086,Preferred,2024-06-14,,NetworkHub
PHM00002,3193008687,5935868,HealthMart #5330,Retail,1387 Main St,St. Louis,MO,57022,Preferred,2021-04-05,,ProviderMaster
PHM00003,0212633229,6617139,Regional Specialty Pharmacy #3584,Hospital,6958 Lake St,Sacramento,CA,65687,In Network,2023-06-30,,ProviderMaster
PHM00004,2032298363,9422525,Family Drug #5535,Specialty,5206 Market St,Pittsburgh,PA,83295,In Network,2025-06-04,,ProviderMaster
PHM00005,0016740395,9807652,MedCenter Pharmacy #3908,Specialty,8409 Park St,Columbia,MO,61449,In Network,2025-03-07,2027-12-14,NetworkHub
PHM00006,8251982661,7575030,Regional Specialty Pharmacy #4263,Independent,250 Lake St,King of Prussia,PA,98830,In Network,2020-06-02,,ProviderMaster
PHM00007,8904077145,2842572,Regional Specialty Pharmacy #2593,Mail Order,944 Main St,New York,NY,39645,In Network,2023-04-05,,ProviderMaster
PHM00008,1235220629,8026219,Walgreens #2981,Retail,1326 Market St,San Antonio,TX,54781,Preferred,2025-05-28,,ProviderMaster
PHM00009,0444769043,8214422,Regional Specialty Pharmacy #537,Retail,8353 Main St,Tampa,FL,94850,Preferred,2023-12-28,,ProviderMaster
PHM00010,9899814240,3927449,Regional Specialty Pharmacy #9047,Mail Order,8408 Lake St,Fort Walton Beach,FL,95712,In Network,2020-05-06,,ProviderMaster
PHM00011,9557055819,0156218,Wellness Rx #3271,Independent,9638 Lake St,Rochester,NY,25645,In Network,2022-05-30,,NetworkHub
PHM00012,5927236237,0499022,HealthMart #9966,Retail,1073 Park St,Springfield,MO,98831,Preferred,2020-08-07,,NetworkHub
PHM00013,8769608269,1115267,Walgreens #6754,Independent,9970 Lake St,Tampa,FL,26249,Preferred,2024-08-14,,ProviderMaster
PHM00014,8042076275,4008958,CarePoint #9071,Specialty,3057 Main St,Raleigh,NC,51138,Preferred,2021-08-26,,NetworkHub
PHM00015,7882217846,1989880,Regional Specialty Pharmacy #7524,Retail,4939 Park St,Harrisburg,PA,73988,In Network,2025-10-12,,ProviderMaster
PHM00016,8271882843,7201389,CVS Pharmacy #3869,Specialty,7223 Main St,Jacksonville,FL,26395,Preferred,2023-11-04,,NetworkHub
PHM00017,9191921473,6535270,Family Drug #5115,Retail,129 Oak St,Raleigh,NC,95776,Out of Network,2022-06-17,,ProviderMaster
PHM00018,3063387334,4214969,HealthMart #464,Hospital,3885 Oak St,Jacksonville,FL,63502,Preferred,2024-07-23,,NetworkHub
PHM00019,4564424971,0563876,Family Drug #2327,Retail,7515 Pine St,Tampa,FL,21024,In Network,2020-02-08,,NetworkHub
PHM00020,8046164260,7714195,HealthMart #9116,Specialty,7471 Pine St,Philadelphia,PA,02848,In Network,2025-08-04,,ProviderMaster
PHM00021,6959867585,8742267,Community Pharmacy #8380,Hospital,6471 Pine St,Fort Collins,CO,56202,Preferred,2024-11-22,,ProviderMaster
PHM00022,2351267045,4249568,Regional Specialty Pharmacy #2503,Independent,5316 Oak St,Irving,TX,73037,In Network,2021-05-04,,ProviderMaster
PHM00023,8947562240,3641416,Wellness Rx #3690,Hospital,8725 Main St,King of Prussia,PA,03506,Out of Network,2025-03-04,,ProviderMaster
